country,amount
AFG,1
ALB,1
ARE,2
ARG,1
ARM,2
AUT,1
AZE,1
BEN,1
BGD,7
BGR,8
BIH,3
BLZ,1
BRA,28
CAN,7
CHN,17
CIV,1
CMR,40
COL,3
CUB,5
CZE,8
DEU,37
DZA,1
EGY,1
ESP,31
ETH,68
FIN,1
FRA,8
GBR,3
GHA,25
GMB,3
GRC,13
IDN,3
IND,16
IRL,1
IRN,12
IRQ,1
ITA,14
JOR,18
KEN,12
KOR,1
LBY,1
LTU,2
MEX,3
MOZ,4
MWI,1
MYS,1
NLD,41
NGA,17
NOR,2
NPL,1
PAK,58
PER,2
PHL,3
POL,9
PRT,3
PSE,2
ROU,11
RUS,5
RWA,8
SRB,1
SUR,7
SVK,3
SVN,2
SYR,1
TTO,2
TUN,1
TUR,9
TZA,7
UGA,12
UKR,3
USA,2
UZB,2
VEN,1
Vluchteling,1
VNM,15
ZAF,10
ZWE,5
