country,amount
AFG,1
ALB,3
ARE,3
ARG,1
ARM,6
AUT,1
BEN,1
BGD,11
BGR,8
BIH,3
BLZ,1
BRA,24
CAN,7
CHE,2
CHN,12
CIV,1
CMR,48
COD,2
COL,5
CPV,1
CUB,8
CZE,16
DEU,46
DNK,1
DZA,1
EGY,3
ESP,33
EST,1
ETH,30
FIN,3
FRA,9
GBR,3
GHA,26
GMB,3
GRC,11
HKG,2
IDN,6
IND,20
IRL,2
IRN,9
IRQ,1
ITA,14
JOR,40
JPN,1
KEN,12
KOR,2
LBY,1
LTU,4
LUX,1
MAR,3
MEX,3
MOZ,5
MWI,2
NLD,49
NGA,21
NPL,1
PAK,46
PHL,1
POL,12
PRT,4
ROU,11
RUS,6
RWA,7
SUR,4
SVK,2
SVN,2
SYR,3
TTO,1
TUN,1
TUR,10
TWN,3
TZA,10
UGA,9
UKR,3
USA,5
VEN,1
Vluchteling,1
VNM,30
ZAF,11
ZMB,1
ZWE,8
