country,amount
ALB,1
BGD,1
BGR,6
BIH,1
BLR,4
BRA,25
CAN,2
CHN,16
CIV,1
CMR,30
COL,2
CUB,1
CZE,9
DEU,32
EGY,1
ESP,20
EST,1
ETH,16
FIN,2
FRA,10
GBR,1
GHA,8
GRC,14
HRV,1
HUN,1
IDN,4
IND,11
IRL,1
IRN,16
IRQ,2
ISR,1
ITA,14
JOR,16
KEN,12
KOR,2
LBN,1
LTU,2
LVA,1
MEX,4
MKD,1
MOZ,6
MWI,1
MYS,1
NLD,32
NGA,8
PAK,17
PER,1
PHL,4
POL,14
PRT,1
PSE,2
ROU,8
RUS,6
RWA,6
SGP,1
SRB,2
SVK,2
SVN,2
TUR,3
TZA,8
UGA,14
UKR,6
USA,2
UZB,2
Vluchteling,1
VNM,15
ZAF,5
ZWE,3
