country,amount
ALB,1
ARM,2
AUT,1
BGD,5
BGR,9
BIH,1
BLZ,1
BRA,19
CAN,3
CHN,14
CIV,1
CMR,36
COD,1
COL,1
CPV,1
CUB,4
CZE,13
DEU,29
EGY,2
ESP,19
ETH,17
FIN,1
FRA,9
GBR,4
GHA,15
GMB,3
GRC,14
HKG,2
IDN,4
IND,12
IRL,1
IRN,15
IRQ,2
ITA,14
JOR,13
KEN,12
KOR,1
LBN,2
LKA,1
LTU,3
LVA,1
MEX,4
MKD,1
MOZ,5
MYS,1
NLD,47
NGA,6
PAK,43
PER,1
PHL,3
POL,16
PRT,2
PSE,3
ROU,11
RUS,4
RWA,6
SGP,1
SRB,2
SUR,6
SVK,3
SVN,2
THA,2
TUR,8
TWN,1
TZA,10
UGA,11
UKR,3
USA,2
UZB,2
Vluchteling,2
VNM,16
ZAF,7
ZWE,5
